Bygg	Fra	DX1	DX2	DX3	DX4	DX5	DX6	DY1	DY2	DY3	DY4	DY5	DY6	ETXMin	ETXMax	ETYMin	ETXMax	Grunnlast	ETColor	Navn
Trondheim Kommune - Byåsen barneskole	01.01.2018		-13	6.5	14	20			52567	23283.1	15169.8	15169.8		-15	20	0	70000	15169.8	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Charlottenlund barneskole	03.01.2000	-15.4	12	15	25			71546	17264	16600	16600			-15	20	0	80000	12500	0	Fra Entros EOS
Trondheim Kommune - Charlottenlund barneskole	09.06.2014		-13	0.1	10.5	20			63740.5	40733.3	14500	14500		-15	20	0	80000	14500	0	Charlottenlund bskole 22122016 HL
Trondheim Kommune - Charlottenlund barneskole	22.06.2015		-13	0.4	13.5	20			63740.5	43166.8	14500	14500		-15	20	0	80000	14500	0	Charlottenlund bskole 22122016 HL
Trondheim Kommune - Charlottenlund barneskole	02.01.2017		-12.4	2.4	11	20			63136.7	38034.7	17217	17217		-15	20	0	80000	17217	0	20190131 ØL: Ny ET-kurve
Trondheim Kommune - Charlottenlund ungdomsskole	03.01.2000	-15.4	-5.5	8.4	25			28902.5	23122	7094.25	5780.5			-15	20	0	35000	5300	0	Charlottenlund uskole 22122016 HL
Trondheim Kommune - Charlottenlund ungdomsskole	30.12.2013		-8.6	11	30				25267.2	7000	7000			-15	20	0	40000	7000	0	Charlottenlund uskole 22122016 HL
Trondheim Kommune - Charlottenlund ungdomsskole	02.01.2017		-10.9	6.7	12	30			27954.4	9726.9	6849.1	6849.1		-15	20	0	35000	6849.1	0	20181019 ØL: Ny ET-kurve
Trondheim Kommune - Charlottenlund ungdomsskole	01.01.2018	-14.5	-1.3	6.7	12	30		25623.6	18445	9726.9	6188.7	6188.7		-15	20	0	35000	6188.7	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Dalgård barneskole	03.01.2000	-15	1	11	22.5			73767.3	53076.4	22490	22490			-15	20	0	80000	18700	0	Fra Entros EOS
Trondheim Kommune - Dalgård barneskole	29.12.2014	-15	0	13	30			75000	52000	20000	20000			-15	20	0	100000	20000	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Dalgård barneskole	02.05.2016	-15	0	10.7	20			75000	52000	25811.3	20000			-15	20	0	80000	20000	FF2681	ØD: ET-kurve uten sommerferieuker
Trondheim Kommune - Dalgård barneskole	02.01.2017		-10.8	2.5	5.7	13	20		64604.8	49641.5	33584.9	19396.2	19396.2	-15	20	0	80000	19396.2	0	20181122 ØL: Ny ET-kurve
Trondheim Kommune - Dalgård barneskole	22.10.2018				-12	13	20				71320.7	19396.2	19396.2	-15	20	0	80000	19396.2	0	20190131 ØL: Ny ET-kurve
Trondheim Kommune - Eberg barneskole	03.01.2000	-15	-3	14	20.9			29204.5	24262.2	6739.5	6739.5			-15	20	0	35000	6800	0	Eberg bskole 22122016 HL
Trondheim Kommune - Eberg barneskole	04.01.2010		-15	12	30				38000	8500	8500			-15	20	0	40000	8500	0	Eberg bskole 22122016 HL
Trondheim Kommune - Eberg barneskole	29.12.2014		-15	11	20				39000	8000	8000			-15	20	0	40000	8000	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Eberg barneskole	09.10.2017		-12.6	12.1	20				24924.5	4679.2	4679.2			-15	20	0	30000	4679.2	0	20191010 VS: Revidert kurve litt opp
Trondheim Kommune - Flatåsen øvre skole	03.01.2000	-15.4	12	20				30205	4228.7	4228.7				-15	20	0	35000	4300	0	Fra Entros EOS
Trondheim Kommune - Flatåsen øvre skole	03.01.2011		-15	12	20				28000	4100	4100			-15	20	0	30000	4100	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Flatåsen øvre skole	18.12.2017		-14.2	12	20				30113.2	8000	8000			-15	20	0	40000	8000	0	20180207 ØL: Midlertidig ET-kurve. Vi har sannsynligvis hatt delvis gratis strøm her i flere år.
Trondheim Kommune - Flatåsen øvre skole	01.01.2018		-14.1	12	20				31622.6	8000	8000			-15	20	0	40000	8000	0	20180311 SKB: Redigert ny ET-kurve med grunnet ny måler
Trondheim Kommune - Flatåsen øvre skole	10.06.2019		-11.7	12	20				30855.7	8000	8000			-15	20	0	40000	7939.1	0	20190614 VG: Ny ET-kurve etter at takvarmen ble slått av. Må muligens oppdateres
Trondheim Kommune - Hallset barneskole	03.01.2000	-15.4	-4	12	22.5			27711	22784.6	6158	6158			-15	20	0	35000	6000	0	Fra Entros EOS
Trondheim Kommune - Hallset barneskole	04.01.2010		-20	12	30				39000	7000	7000			-15	20	0	40000	7000	0	Hallset bskole 22122016 HL
Trondheim Kommune - Hallset barneskole	30.12.2013		-12.7	12	30				30547.2	6500	6500			-15	20	0	40000	6500	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Hallset barneskole	02.01.2017		-13.2	13	30				31151	6047.2	6047.2			-15	20	0	40000	6047.2	0	20181115 ØL: Ny ET-kurve
Trondheim Kommune - Hoeggen ungdomsskole	03.01.2000	-15	12.5	22.5				65084.5	14387.1	14387.1				-15	20	0	70000	13000	0	Fra Entros EOS
Trondheim Kommune - Hoeggen ungdomsskole	04.01.2010	-15	0	11.5	30			56000	34626	14100	14100			-15	20	0	70000	14100	0	Hoeggen uskole 22122016 HL
Trondheim Kommune - Hoeggen ungdomsskole	29.12.2014		-6.2	2.5	9.4	13.2	30		48680.2	30378.4	21779.2	14100	14100	-10	20	0	50000	14100	0	20170623 ØL: Ny ET-kurve
Trondheim Kommune - Hoeggen ungdomsskole	01.01.2018				-7.6	13.4	30				45741.4	10326.4	10326.4	-10	20	0	50000	10326.4	0	201806822 ØL: Ny ET-kurve
Trondheim Kommune - Hoeggen ungdomsskole	01.01.2018				-8.9	13.2	30				50798	13043.4	12590.6	-10	20	0	60000	12590.6	0	20191010 VS: Revidert, litt høyere
Trondheim Kommune - Hoeggen ungdomsskole	03.09.2018				-8.1	14	30				52835.7	12590.6	12590.6	-10	20	0	60000	12590.6	0	20181109 ØL: Nytt aggregat startet på loftet
Trondheim Kommune - Huseby skole	03.01.2000	-15	12	20				37387	9613.8	9613.8				-15	20	0	45000	9300	0	Fra Entros EOS
Trondheim Kommune - Huseby skole	29.12.2014	-15	12	20				37387	9613.8	9613.8				-15	20	0	45000	9300	0	Skolen er revet
Trondheim Kommune - Hårstad barneskole	03.01.2000	-15.4	4	12	22.5			33080	17367	6202.5	6202.5			-15	20	0	40000	6300	0	Fra Entros EOS
Trondheim Kommune - Hårstad barneskole	01.08.2016		-11.3	13	20				24604.8	5000	5000			-15	20	0	40000	5000	0	20170118 ØL: Ny ET-kurve (roterende gjenvinnere)
Trondheim Kommune - Ila barneskole	03.01.2000	-15.4	13	20.9				57195	9532.5	9532.5				-15	20	0	70000	7800	0	Fra Entros EOS
Trondheim Kommune - Ila barneskole	29.12.2014		-15	7	13	20			50000	19000	7000	7000		-15	20	0	55000	7000	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Kattem barneskole	03.01.2000	-15.4	12	20				28863.6	7754.4	7754.4				-15	20	0	35000	7700	0	Fra Entros EOS
Trondheim Kommune - Kattem barneskole	29.12.2014	-10.1	14.4	20				24145.3	6800	6800				-15	20	0	35000	6800	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Kattem barneskole	01.01.2018			-11.6	14	20				25334	6271.7	6271.7		-15	20	0	35000	6271.7	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Huseby skole avd. Kolstad	03.01.2000	-15.4	0	12	20.9			28424.5	20553.1	6559.5	6559.5			-15	20	0	35000	6500	0	Fra Entros EOS
Trondheim Kommune - Huseby skole avd. Kolstad	29.12.2014		-9.4	2.1	7.5	13.1	20		28001	18359.5	10435	6500	6500	-15	20	0	35000	6500	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Huseby skole avd. Kolstad	02.01.2017		-9.7	0.3	7.3	13	20		31567.1	21529.4	10963.3	6500	6500	-15	20	0	35000	6632.1	0	20181119 ØL: Ny ET-kurve
Trondheim Kommune - Lade barneskole	03.01.2000	-15	6	11.4	25			63360	31680	11404.8	11404.8			-15	20	0	75000	10000	0	Fra Entros EOS
Trondheim Kommune - Lade barneskole	01.01.2018			-12	3.8	11	20			21793.5	13388.2	10575.7	10575.7	-15	20	0	25000	10575.7	0	27082019 SKB: Ny ET-kurve. Den gamle lå veldig lavt, lagde en ny mer konservativ. Må nok justeres når vi får inn data for første høst uten prøvedriftskjøring på aggregatene.
Trondheim Kommune - Lade barneskole	13.08.2018				-15	6	20				19600	9504	9504	-15	20	0	25000	9504	0	20181008 ØL: Ny skole, ET-kurve fra Simien
Trondheim Kommune - Lade barneskole	31.12.2018			-9.5	4.1	10.9	20			22267	11223.2	6598.4	6598.4	-15	20	0	25000	6598.4	0	27082019 SKB: Ny ET-kurve. Den gamle lå veldig lavt, lagde en ny mer konservativ. Må nok justeres når vi får inn data for første høst uten prøvedriftskjøring på aggregatene.
Trondheim Kommune - Lade barneskole	31.12.2018			-12	4.3	9.6	20			21793.5	12535.9	6882.5	6882.5	-15	20	0	25000	6882.5	0	27082019 SKB: Ny ET-kurve. Den forrige var alt for lav. Lagde en ny konservativ kurve som mest sanns på oppdateres etterhvert.
Trondheim Kommune - Lade barneskole	31.12.2018			-12	3.8	11	20			21793.5	13388.2	10575.7	10575.7	-15	20	0	25000	10575.7	0	27082019 SKB: Ny ET-kurve
Trondheim Kommune - Markaplassen ungdomsskole	03.01.2000	-15	11.5	20.9				39266.5	9061.5	9061.5				-15	20	0	45000	10000	0	Fra Entros EOS
Trondheim Kommune - Markaplassen ungdomsskole	29.12.2014	-15	15	20				47000	7000	7000				-15	20	0	50000	7000	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Markaplassen ungdomsskole	23.10.2017	-12.9	13	20				24698.1	7188.7	7188.7				-15	20	0	30000	7188.7	0	20180606 ØL: Ny ET-kurve
Trondheim Kommune - Markaplassen ungdomsskole	31.12.2018	-8.8	2.8	13.9	19.6			26844.3	17527	6504.3	6504.3			-15	20	0	30000	6504.3	0	20190328 SKB: Ny ET-kurve (varme økt på bygget, må oppdateres med mer data)
Trondheim Kommune - Markaplassen ungdomsskole	31.12.2018	-9	4.2	13	20			26625.2	16844.3	7867.9	7867.9			-15	20	0	30000	7867.9	0	20190328 SKB: Ny ET-kurve
Trondheim Kommune - Markaplassen ungdomsskole	25.02.2019	-10.6	13	20				28094.3	7867.9	7867.9				-15	20	0	30000	7867.9	0	20190311 ØL: Ny ET-kurve etter at varmen har blitt økt på bygget. Må oppdateres med mer data.
Trondheim Kommune - Nardo barneskole	04.01.2010	-15	10	20				19510.4	7316.4	7316.4				-15	20	0	25000	7800	0	Fra Entros EOS
Trondheim Kommune - Nardo barneskole	29.12.2014		-12.3	5.1	12.5	20			20284	8998.1	6639.6	6639.6		-15	20	0	25000	6639.6	0	20171115 ØL: Ny ET-kurve
Trondheim Kommune - Nardo barneskole	17.07.2017	-13.7	-6.9	-5	1.1	14	20	19718	15755.7	12736.9	8337.7	5507.5	5507.5	-15	20	0	25000	5507.5	0	20180220 ØL: Ny ET-kurve, topping med FV når det er ekstra kaldt
Trondheim Kommune - Nardo barneskole	05.03.2018			-12.3	3.9	12	20			18585.9	10130.1	7771.6	7771.6	-15	20	0	25000	7771.6	0	20181213 ØL: Ny ET-kurve etter målerbytte
Trondheim Kommune - Nidarvoll barneskole	03.01.2000	-15	1.8	12.1	20			44520	31800	8904	8904			-15	20	0	55000	9200	0	Fra Entros EOS
Trondheim Kommune - Nidarvoll barneskole	02.01.2012	-15	2	13.5	20			54000	28000	7500	7500			-15	20	0	55000	7500	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Nidarvoll barneskole	14.05.2012		-15	2.8	6.7	12.3	30		50000	31500	16500	11000	11000	-15	20	0	55000	11000	0	Nidarvoll bskole 030217 HL
Trondheim Kommune - Nidarvoll barneskole	04.01.2016		-14.6	2	6.8	12.8	30		51867.9	29632.1	18160.4	9339.6	9339.6	-15	20	0	55000	9339.6	0	20171020 ØL: Ny ET-kurve
Trondheim Kommune - Nidarvoll barneskole	02.01.2017		-13.2	-0.9	7.2	13	30		48076.5	34500	17990.5	9867.9	9867.9	-15	20	0	70000	9867.9	0	20190114 ØL: Ny ET-kurve
Trondheim Kommune - Nyborg barneskole og barnehage	03.01.2000	-15	12	20				34426.7	8494.9	8494.9				-15	20	0	40000	7300	0	Fra Entros EOS
Trondheim Kommune - Nyborg barneskole og barnehage	29.12.2014	-15	11	20				24000	7300	7300				-15	20	0	26000	7300	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Nypvang barneskole	03.01.2000	-15	12	20				24686.2	6091.4	6091.4				-15	20	0	30000	6000	0	Fra Entros EOS
Trondheim Kommune - Nypvang barneskole	29.12.2014	-15	12	20				24700	6000	6000				-15	20	0	30000	6000	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Nypvang barneskole	01.01.2018		-12.6	1.3	8.5	13	20		19170.8	13510.4	7623.6	5698.1	5698.1	-15	20	0	20000	5698.1	0	20190314 ØL: Ny ET-kurve
Trondheim Kommune - Okstad barneskole	03.01.2000	-17	2.1	10.7	22.5			13264.16	6741.4	3097.4	3097.4			-15	20	0	20000	2700	0	Fra Entros EOS
Trondheim Kommune - Okstad barneskole	29.12.2014		-15	12	20				14700	2900	2900			-15	20	0	15000	2900	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Ranheim barneskole	03.01.2000	-15	9.5	20				29559.6	9639	9639				-15	20	0	35000	9500	0	Fra Entros EOS
Trondheim Kommune - Ranheim barneskole	02.01.2017		-10.3	0.3	7.2	13	20		24057.6	17831.2	10435	7820.8	7820.8	-15	20	0	25000	7820.8	0	20181119 ØL: Ny ET-kurve
Trondheim Kommune - Ranheim barneskole	01.01.2018		-9.3	1.1	7.2	13	20		23491.6	16699.1	10435	8481.2	8481.2	-15	20	0	25000	8481.2	0	20190603 ØL: Ny ET-kurve
Trondheim Kommune - Romolslia barneskole	03.01.2000	-15	4.2	11	22.5			25230	13119.6	6055.2	6055.2			-15	20	0	30000	6000	0	Fra Entros EOS
Trondheim Kommune - Romolslia barneskole	29.12.2014	-15	-1	4	13	20		19000	16000	11700	5300	5300		-15	20	0	22000	5300	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Romolslia barneskole	02.01.2017	-12.8	-1.2	7.1	13	20		20426.5	15490.6	8922.6	5394.3	5394.3		-15	20	0	25000	5394.3	0	20180205 ØL: Ny ET-kurve
Trondheim Kommune - Rosenborg ungdomsskole	03.01.2000	-17	8.5	18.5				34500	8280	8280				-15	20	0	40000	8000	0	Fra Entros EOS
Trondheim Kommune - Rosenborg ungdomsskole	29.12.2014	-15	-1	3	12	20		32000	22000	12000	7500	7500		-15	20	0	40000	7500	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Rosenborg ungdomsskole	02.01.2017		-12	6.1	12	20			26151.9	10754.8	7726.4	7726.4		-15	20	0	30000	7726.4	0	20180220 ØL: Ny ET-kurve
Trondheim Kommune - Rosten barne og ungdomsskole	03.01.2000	-11.3	11	22.5				34404.45	8058.7	8058.7				-15	20	0	40000	8000	0	Fra Entros EOS
Trondheim Kommune - Rosten barne og ungdomsskole	29.12.2014	-15	-1	12	20			30000	20000	7000	7000			-15	20	0	40000	7000	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Rosten barne og ungdomsskole	01.01.2018		-11.8	-2.6	13	20			25510.5	19886.8	5188.7	5188.7		-15	20	0	40000	5037.8	0	20181025 ØL: Ny ET-kurve
Trondheim Kommune - Rye barneskole	03.01.2000	-15	15	20.9				15965	4377.5	4377.5				-15	20	0	20000	5500	0	Fra Entros EOS
Trondheim Kommune - Rye barneskole	29.12.2014	-15	15	20				15700	4400	4400				-15	20	0	20000	4400	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Rye barneskole	02.01.2017			-12.9	12.5	20				17057.6	4098.1	4098.1		-15	20	0	20000	4098.1	0	20181130 ØL: Ny ET-kurve
Trondheim Kommune - Saupstad barneskole	03.01.2000	-15.4	-6.5	11.5	20			21637	17703	4327.4	4327.4			-15	30	0	30000	4500	0	Fra Entros EOS
Trondheim Kommune - Saupstad barneskole	14.05.2012		-10.1	12.9	27.4				21034.5	3724.1	3609.2			-15	30	0	30000	5712.6	0	
Trondheim Kommune - Saupstad barneskole	24.06.2013		-10.1	12.9	27.4				21034.5	3724.1	3609.2			-15	30	0	30000	5712.6	0	
Trondheim Kommune - Saupstad barneskole	04.01.2016	-9.5	-1.6	1.9	4	13	20	19925.5	13943.4	13098.2	9573.6	5000	5000	-15	20	0	22000	5000	0	20170418 ØL: Endret ET-kurve
Trondheim Kommune - Selsbakk ungdomsskole	03.01.2000	-15.4	3	10	22.5			35754	18786	8181	8181			-15	20	0	45000	8300	0	Fra Entros EOS
Trondheim Kommune - Selsbakk ungdomsskole	29.12.2014				-13.7	12.7	20				36094.3	7500	7500	-15	20	0	45000	7500	0	20171023 ØL: Ny ET-kurve
Trondheim Kommune - Selsbakk ungdomsskole	02.01.2017				-13.8	13.5	20				34226.4	7500	7500	-15	20	0	45000	7500	0	20180316 ØL: Ny ET-kurve
Trondheim Kommune - Singsaker barneskole	03.01.2000	-15	7	10.5	20			46206	17969	10268	9241.2			-15	20	0	55000	10000	0	Fra Entros EOS
Trondheim Kommune - Singsaker barneskole	29.12.2014	-15	7.5	14	20			47000	14000	8000	8000			-15	20	0	55000	8000	0	20170129 ØL: Ny ET-kurve
Trondheim Kommune - Singsaker barneskole	02.01.2017	-10.5	3.7	13	20			37867.9	19188.7	6547.2	6547.2			-15	20	0	55000	6547.2	0	20180822 ØL: Ny ET-kurve
Trondheim Kommune - Sjetne barne og ungdomsskole	03.01.2000	-15	0	11.5	22.5			50732.5	34342	12488	12488			-15	20	0	60000	12500	0	Fra Entros EOS
Trondheim Kommune - Sjetne barne og ungdomsskole	04.01.2010	-20	-10	-3	8	17	25	42000	39000	35394	15000	6800	6000	-20	30	0	50000	12066	0	
Trondheim Kommune - Sjetne barne og ungdomsskole	29.12.2014	-15	-10	-4	7	14	20	40000	39000	35400	16000	9000	9000	-15	20	0	50000	9000	0	20170129 ØL: Ny ET-kurve
Trondheim Kommune - Sjetne barne og ungdomsskole	31.12.2018				-13.4	12	20				39776.5	9000	9000	-15	20	0	50000	9000	0	20191118 VS: Ny ET-kurve (ombygging ferdig 2019)
Trondheim Kommune - Stabbursmoen barne og ungdomsskole	03.01.2000	-20	1	10.6	25			37012.4	21227.7	10069.55	10069.55			-15	20	0	45000	9000	0	Fra Entros EOS
Trondheim Kommune - Stabbursmoen barne og ungdomsskole	29.12.2014	-20	1	13	20			35000	20000	9000	9000			-15	20	0	45000	9000	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Stabbursmoen barne og ungdomsskole	02.01.2017	-13.8	4	6.8	13	20		27340.6	18622.6	11547.1	8867.9	8867.9		-15	20	0	35000	8867.9	0	20181122 ØL: Ny ET-kurve
Trondheim Kommune - Steindal barneskole	03.01.2000	-15	12	20				36304	8622.2	8622.2				-15	20	0	40000	8500	0	Fra Entros EOS
Trondheim Kommune - Steindal barneskole	29.12.2014	-15	12	20				36000	8500	8500				-15	20	0	40000	8500	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Steindal barneskole	26.12.2016	-15	3.7	10.7	20			36000	15141.5	8500	8500			-15	20	0	40000	8500	0	26.04.2017 SKB Ny ET-kurve
Trondheim Kommune - Steindal barneskole	01.01.2018		-11.9	13	20				32349	6084.9	6084.9			-15	20	0	40000	6084.9	0	20181123 ØL: Ny ET-kurve
Trondheim Kommune - Strindheim skole	03.01.2000	-15	1.2	12	22.5			38469.9	23553	9421.2	9421.2			-15	20	0	45000	10000	0	Fra Entros EOS
Trondheim Kommune - Strindheim skole	29.12.2014	-15	1.2	12	20			42000	23500	10000	10000			-15	20	0	45000	10000	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Strindheim skole	01.01.2018	-13.8	2.2	7	13	19.9		33284.1	24509.4	13481.1	8132.1	8132.1		-15	20	0	45000	8132.1	0	20181207 ØL: Ny ET-kurve
Trondheim Kommune - Strindheim skole	18.11.2019	-8.7	1.5	5.9	13	19.9		35008.2	23992.2	16412.1	8132.1	8132.1		-15	20	0	45000	8132.1	0	20191205 VS: Ny ET kurve
Trondheim Kommune - Strindheim skole	02.12.2019	-8.7	1.5	5.9	13	19.9		35008.2	23992.2	16412.1	8132.1	8132.1		-15	20	0	45000	8132.1	0	20191205 VS: Ny ET-kurve
Trondheim Kommune - Sunnland ungdomsskole	03.01.2000	-15	0	11	22.5			38313	28212.3	12887.1	12887.1			-15	20	0	45000	13000	0	Fra Entros EOS
Trondheim Kommune - Sunnland ungdomsskole	29.12.2014	-15	0	2	7	12	20	40000	28000	23000	19000	12000	12000	-15	20	0	45000	12000	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Sunnland ungdomsskole	27.03.2017		-12.6	3.1	5.9	12	20		39170.2	19939.5	15434	12000	12000	-15	20	0	45000	12000	0	20180323 ØL: Ny ET-kurve
Trondheim Kommune - Sunnland ungdomsskole	01.01.2018				-11.8	13	20				37589.8	10811.4	10811.4	-15	20	0	45000	10811.4	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Sverresborg ungdomsskole	03.01.2000	-16	2.5	11	22.5			42245	22812.3	9293.9	9293.9			-15	20	0	50000	9500	0	Fra Entros EOS
Trondheim Kommune - Sverresborg ungdomsskole	29.12.2014			-15	0.9	13	25			55000	24000	9500	9500	-15	20	0	60000	9500	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Sverresborg ungdomsskole	02.01.2017				-14.4	12	25				47094.4	9500	9500	-15	20	0	60000	9500	0	20181207 ØL: Ny ET-kurve
Trondheim Kommune - Tonstad barne og ungdomsskole	03.01.2000	-12.5	11	20				34137.75	10092.9	10092.9				-15	20	0	40000	9000	0	Fra Entros EOS
Trondheim Kommune - Tonstad barne og ungdomsskole	04.01.2010		-20	11	30				39500	9500	9500			-20	30	0	40000	1000	0	
Trondheim Kommune - Tonstad barne og ungdomsskole	29.12.2014		-15	12	20				33000	8000	8000			-15	20	0	40000	8000	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Tonstad barne og ungdomsskole	05.01.2015		-14.4	2.4	4.8	13.5	22		32491.6	18575.5	14265.2	8479.3	8347.2	-15	20	0	35000	8347.2	0	20171020 ØL: Ny ET-kurve
Trondheim Kommune - Tonstad barne og ungdomsskole	02.01.2017				-11.9	13	22				29453.9	7554.7	7554.7	-15	20	0	35000	7554.7	0	20181123 ØL: Ny ET-kurve
Trondheim Kommune - Tonstad barne og ungdomsskole	31.12.2018		-12.7	3.2	6.7	12	22		31567.1	18359.5	14001.1	9007.5	9007.5	-15	20	0	35000	8743.4	0	20190101: VG Ny ET-kurve
Trondheim Kommune - Ugla ungdomsskole	03.01.2000	-15	13	20.9				16525	6279.5	6279.5				-15	20	0	20000	5700	0	Fra Entros EOS
Trondheim Kommune - Ugla ungdomsskole	29.12.2014			-15	13	20				15600	6200	6200		-15	20	0	16000	6200	0	20170123 ØL: Ny ET-kurve
Trondheim Kommune - Ugla ungdomsskole	02.01.2017		-14.2	2.9	12.9	19.9			14119.9	10004.6	6123.4	6046.7		-15	20	0	20000	6046.7	0	20191017 VS: Justert ET-kurve
Trondheim Kommune - Utleira barneskole	03.01.2000	-15	13	20.9				15990	6076.2	6076.2				-15	20	0	20000	9500	0	Fra Entros EOS
Trondheim Kommune - Utleira barneskole	04.01.2010			-7.5	12.3	20				28000	9500	9500		-15	20	0	40000	9500	0	Utleira bskole 06012017 HL
Trondheim Kommune - Utleira barneskole	29.12.2014			-11.7	10.3	20				34641.5	9500	9500		-15	20	0	40000	9500	0	20171220 ØL: Ny ET-kurve
Trondheim Kommune - Utleira barneskole	02.01.2017	-11.7	1.9	7	14	20		25359.5	18718	11547.2	6028.3	6028.3		-15	20	0	40000	6028.3	0	20180822 ØL: Ny ET-kurve
Trondheim Kommune - Utleira barneskole	01.01.2018	-12.4	3.5	7.8	14	20		28982.1	17057.6	11245.3	7537.7	7537.7		-15	20	0	40000	7537.7	0	20180308 ØL: Ny ET-kurve
Trondheim Kommune - Utleira barneskole	31.12.2018	-11.9	3.1	7.8	13	20		32200.5	16597.8	12164.8	7537.7	7537.7		-15	20	0	40000	7384.4	0	20191202 VS: Ny ET-kurve
Trondheim Kommune - Utleira barneskole	02.12.2019	-11.9	3.1	7.8	13	20		32200.5	16597.8	12164.8	7537.7	7537.7		-15	20	0	40000	7384.4	0	20190212 VS: Ny ET-kurve
Trondheim Kommune - Vikåsen barneskole	03.01.2000	-15.4	5	10	22.5			40136	20760	13840	13840			-15	20	0	45000	13500	0	Fra Entros EOS
Trondheim Kommune - Vikåsen barneskole	29.12.2014	-15	5	12	20			40500	18000	13000	13000			-15	20	0	45000	13000	0	20170123 ØL: Ny ET-kurve
Trondheim Kommune - Vikåsen barneskole	01.01.2018	-12.6	7.7	13.5	20			36915.2	21396.2	13000	13000			-15	20	0	50000	13000	0	20190208 ØL: Ny ET-kurve, må muligens oppdateres, da den er basert på flere uker med gjentagende målerdata på fastkraft
Trondheim Kommune - Åsheim barneskole	03.01.2000	-15.4	2	13.5	20.9			39080	25402	7327.5	7327.5			-15	20	0	45000	10000	0	Fra Entros EOS
Trondheim Kommune - Åsheim barneskole	07.02.2011		-7.8	2.2	5.1	9.5	25		35886.8	24760.4	17139.6	9490.6	9490.6	-15	20	0	45000	9490.6	0	Åsheim b.skole 20.01.2017 HL
Trondheim Kommune - Åsheim barneskole	29.12.2014		-9	2.3	5.1	13.3	25		37075.5	23232.1	17139.6	6793.5	6773.6	-15	20	0	45000	6773.6	0	20170901 ØL: Ny ET-kurve
Trondheim Kommune - Åsheim barneskole	02.01.2017	-9	2.8	7	14.1	25		36056.6	22339.6	14811.3	6963.3	6773.6		-15	20	0	45000	6773.6	FF7321	ØD: Høyere i laveste knekk
Trondheim Kommune - Åsheim ungdomsskole	03.01.2000	-15.4	11.5	20.9				33632	7357	7357				-15	20	0	40000	6500	0	Fra Entros EOS
Trondheim Kommune - Åsheim ungdomsskole	07.02.2011	-10.1	1.3	5	8	16	25	27500	18600	14600	10400	6900	6900	-15	20	0	30000	6900	0	Åsheim ungdomsskole 20.01.2017 HL
Trondheim Kommune - Åsheim ungdomsskole	02.01.2017		-15	1.3	5.9	13	20		27057.6	17883	12437.7	7352.8	7352.8	-15	20	0	30000	7352.8	0	20180323 ØL: Ny ET-kurve
Trondheim Kommune - Åsheim ungdomsskole	01.01.2018				-10.5	12.5	20				25909.4	5654.7	5654.7	-15	20	0	30000	5654.7	0	20190405 ØL: Ny ET-kurve
Trondheim Kommune - Åsvang barneskole	03.01.2000	-11.3	11	25				39639.6	10164	10164				-15	20	0	45000	10000	0	Fra Entros EOS
Trondheim Kommune - Åsvang barneskole	07.02.2011		-10.1	4.2	5.6	10.5	25		32000	19200	15000	10600	10600	-15	20	0	45000	10600	0	Åsvang bskole 20.01.2017 HL
Trondheim Kommune - Åsvang barneskole	02.01.2017		-13.4	4.2	6.4	14	25		36584.9	19200	15000	7203.7	7203.7	-15	20	0	45000	7203.7	0	20180822 ØL: Ny ET-kurve
Trondheim Kommune - Åsvang barneskole	01.01.2018		-13.4	4.2	6.4	13.5	25		36584.9	19200	15000	9411.3	9411.3	-15	20	0	45000	9411.3	0	20092018 SKB:Ny ET-kurve
Trondheim Kommune - Åsvang barneskole	17.09.2018		-13.4	4.2	6.4	14.2	25		36584.9	19200	15000	8222.6	8222.6	-15	20	0	45000	8222.6	0	
